('12.1.1.151', 45510, '192.168.70.129', 10000);('12.1.1.151', 45510, '192.168.70.129', 10000);('12.1.1.151', 45510, '192.168.70.129', 10000);('12.1.1.151', 44932, '192.168.70.129', 10001);('12.1.1.151', 44932, '192.168.70.129', 10001);('12.1.1.151', 44932, '192.168.70.129', 10001);('12.1.1.151', 45514, '192.168.70.129', 10000);('12.1.1.151', 45514, '192.168.70.129', 10000);('12.1.1.151', 45514, '192.168.70.129', 10000);('12.1.1.151', 44936, '192.168.70.129', 10001);('12.1.1.151', 44936, '192.168.70.129', 10001);('12.1.1.151', 44936, '192.168.70.129', 10001);
;;;;;;4743.786055;127.0;30.0;4743.786055;1510.0;1508.0;
;;;;;;4743.890289;127.0;30.0;4743.890289;1510.0;1508.0;
;;;;;;4743.994452;132.0;30.0;4743.994452;1510.0;1508.0;
;;;;;;4744.098173;142.0;30.0;4744.098173;1510.0;1508.0;
;;;;;;4744.201865;170.0;30.0;4744.201865;1510.0;1508.0;
;;;;;;4744.305592;177.0;30.0;4744.305592;1510.0;1508.0;
;;;;;;4744.409186;177.0;30.0;4744.409186;1510.0;1508.0;
;;;;;;4744.512755;177.0;30.0;4744.512755;1510.0;1508.0;
;;;;;;4744.616337;177.0;30.0;4744.616337;1510.0;1508.0;
;;;;;;4744.71991;177.0;30.0;4744.71991;1510.0;1508.0;
;;;;;;4744.823543;177.0;30.0;4744.823543;1510.0;1508.0;
;;;;;;4744.927091;177.0;30.0;4744.927091;1510.0;1508.0;
;;;;;;4745.030792;177.0;30.0;4745.030792;1510.0;1508.0;
;;;;;;4745.134385;182.0;30.0;4745.134385;1510.0;1508.0;
;;;;;;4745.237919;182.0;30.0;4745.237919;1510.0;1508.0;
;;;;;;4745.341921;182.0;30.0;4745.341921;1510.0;1508.0;
;;;;;;4745.445726;185.0;30.0;4745.445726;1510.0;1508.0;
;;;;;;4745.549382;189.0;30.0;4745.549382;1511.0;1508.0;
;;;;;;4745.65296;189.0;30.0;4745.65296;1511.0;1508.0;
;;;;;;4745.756506;189.0;30.0;4745.756506;1511.0;1508.0;
;;;;;;4745.860108;189.0;30.0;4745.860108;1511.0;1508.0;
;;;;;;4745.963676;189.0;30.0;4745.963676;1511.0;1508.0;
;;;;;;4746.067448;189.0;30.0;4746.067448;1511.0;1508.0;
;;;;;;4746.171032;189.0;30.0;4746.171032;1511.0;1508.0;
;;;;;;4746.274567;189.0;30.0;4746.274567;1511.0;1508.0;
;;;;;;4746.378104;189.0;30.0;4746.378104;1511.0;1508.0;
;;;;;;4746.481666;189.0;30.0;4746.481666;1511.0;1508.0;
;;;;;;4746.58569;189.0;30.0;4746.58569;1511.0;1508.0;
;;;;;;4746.689255;189.0;30.0;4746.689255;1511.0;1508.0;
;;;;;;4746.792776;189.0;30.0;4746.792776;1511.0;1508.0;
;;;;;;4746.896337;189.0;30.0;4746.896337;1511.0;1508.0;
;;;;;;4746.99988;189.0;30.0;4746.99988;1511.0;1508.0;
;;;;;;4747.10783;189.0;30.0;4747.10783;1511.0;1508.0;
;;;;;;4747.211417;189.0;30.0;4747.211417;1511.0;1508.0;
;;;;;;4747.315151;189.0;30.0;4747.315151;1511.0;1508.0;
;;;;;;4747.418867;189.0;30.0;4747.418867;1511.0;1508.0;
;;;;;;4747.522397;189.0;30.0;4747.522397;1511.0;1508.0;
;;;;;;4747.625986;189.0;30.0;4747.625986;1511.0;1508.0;
;;;;;;4747.729657;189.0;30.0;4747.729657;1511.0;1508.0;
