('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 45814, '12.1.1.159', 10001);('192.168.70.129', 45814, '12.1.1.159', 10001);('192.168.70.129', 45814, '12.1.1.159', 10001);
;;;;;;72758.268251;1567.0;181.0;72758.268251;505.0;495.0;
;;;;;;72758.3723;1567.0;181.0;72758.3723;505.0;495.0;
;;;;;;72758.476264;1567.0;181.0;72758.476264;505.0;495.0;
;;;;;;72758.58026;1567.0;181.0;72758.58026;505.0;495.0;
;;;;;;72758.684074;1567.0;181.0;72758.684074;506.0;495.0;
;;;;;;72758.787886;1567.0;181.0;72758.787886;506.0;495.0;
;;;;;;72758.89188;1589.0;181.0;72758.89188;506.0;495.0;
;;;;;;72758.995931;1631.0;181.0;72758.995931;506.0;495.0;
;;;;;;72759.099873;1676.0;181.0;72759.099873;506.0;495.0;
;;;;;;72759.203834;1720.0;181.0;72759.203834;506.0;495.0;
;;;;;;72759.307803;1769.0;181.0;72759.307803;506.0;495.0;
;;;;;;72759.411868;1813.0;181.0;72759.411868;506.0;495.0;
;;;;;;72759.515811;1859.0;181.0;72759.515811;506.0;495.0;
;;;;;;72759.61975;1906.0;181.0;72759.61975;506.0;495.0;
;;;;;;72759.723594;1939.0;181.0;72759.723594;506.0;495.0;
;;;;;;72759.827439;1972.0;181.0;72759.827439;506.0;495.0;
;;;;;;72759.931244;1985.0;181.0;72759.931244;506.0;495.0;
;;;;;;72800.035079;1985.0;181.0;72800.035079;506.0;495.0;
;;;;;;72800.138924;1985.0;181.0;72800.138924;506.0;495.0;
;;;;;;72800.242899;1985.0;181.0;72800.242899;506.0;495.0;
;;;;;;72800.347158;1985.0;181.0;72800.347158;506.0;495.0;
;;;;;;72800.45151;1985.0;181.0;72800.45151;506.0;495.0;
;;;;;;72800.555447;1985.0;181.0;72800.555447;506.0;495.0;
;;;;;;72800.659423;1985.0;181.0;72800.659423;506.0;495.0;
;;;;;;72800.763249;1985.0;181.0;72800.763249;506.0;495.0;
;;;;;;72800.867095;1985.0;181.0;72800.867095;507.0;495.0;
;;;;;;72800.970968;1985.0;181.0;72800.970968;507.0;495.0;
;;;;;;72801.074918;1985.0;181.0;72801.074918;507.0;495.0;
;;;;;;72801.178847;2022.0;181.0;72801.178847;507.0;495.0;
;;;;;;72801.282901;2068.0;181.0;72801.282901;507.0;495.0;
;;;;;;72801.386835;2119.0;181.0;72801.386835;507.0;495.0;
;;;;;;72801.490809;2168.0;181.0;72801.490809;507.0;495.0;
;;;;;;72801.594935;2217.0;181.0;72801.594935;507.0;495.0;
;;;;;;72801.69911;2267.0;181.0;72801.69911;507.0;495.0;
;;;;;;72801.803108;2313.0;181.0;72801.803108;507.0;495.0;
;;;;;;72801.907159;2332.0;181.0;72801.907159;507.0;495.0;
;;;;;;72802.011079;2332.0;181.0;72802.011079;507.0;495.0;
;;;;;;72802.115036;2332.0;181.0;72802.115036;507.0;495.0;
;;;;;;72802.218996;2332.0;181.0;72802.218996;507.0;495.0;
;;;;;;72802.332575;2332.0;181.0;72802.332575;507.0;495.0;
;;;;;;72802.436401;1609.0;1632.0;72802.436401;507.0;495.0;
;;;;;;72802.540227;1609.0;1632.0;72802.540227;507.0;495.0;
;;;;;;72802.644037;1609.0;1632.0;72802.644037;507.0;495.0;
;;;;;;72802.748001;1609.0;1632.0;72802.748001;507.0;495.0;
;;;;;;72802.851905;1609.0;1632.0;72802.851905;507.0;495.0;
;;;;;;72802.95586;1609.0;1632.0;72802.95586;508.0;495.0;
;;;;;;72803.059791;1609.0;1632.0;72803.059791;508.0;495.0;
;;;;;;72803.163731;1541.0;1632.0;72803.163731;508.0;495.0;
;;;;;;72803.267641;1438.0;1632.0;72803.267641;508.0;495.0;
;;;;;;72803.371503;1394.0;1632.0;72803.371503;508.0;495.0;
;;;;;;72803.475395;1317.0;1632.0;72803.475395;508.0;495.0;
;;;;;;72803.579202;1263.0;1632.0;72803.579202;508.0;495.0;
;;;;;;72803.683226;1179.0;1632.0;72803.683226;508.0;495.0;
;;;;;;72803.787255;1040.0;1632.0;72803.787255;508.0;495.0;
;;;;;;72803.891115;1009.0;1632.0;72803.891115;508.0;495.0;
;;;;;;72803.995029;939.0;1632.0;72803.995029;508.0;495.0;
;;;;;;72804.098943;871.0;1632.0;72804.098943;508.0;495.0;
;;;;;;72804.202829;802.0;1632.0;72804.202829;508.0;495.0;
;;;;;;72804.306682;733.0;1632.0;72804.306682;508.0;495.0;
;;;;;;72804.410506;662.0;1632.0;72804.410506;508.0;495.0;
;;;;;;72804.514402;592.0;1632.0;72804.514402;508.0;495.0;
;;;;;;72804.618341;288.0;1632.0;72804.618341;508.0;495.0;
;;;;;;72804.7223;1195.0;1632.0;72804.7223;508.0;495.0;
;;;;;;72804.826262;1195.0;1632.0;72804.826262;508.0;495.0;
;;;;;;72804.930273;1195.0;1632.0;72804.930273;508.0;495.0;
;;;;;;72805.03426;1195.0;1632.0;72805.03426;508.0;495.0;
;;;;;;72805.138093;1195.0;1632.0;72805.138093;508.0;495.0;
;;;;;;72805.241923;1195.0;1632.0;72805.241923;508.0;495.0;
;;;;;;72805.345799;1195.0;1632.0;72805.345799;509.0;495.0;
