('12.1.1.151', 45208, '192.168.70.129', 10000);('12.1.1.151', 45208, '192.168.70.129', 10000);('12.1.1.151', 45208, '192.168.70.129', 10000);('12.1.1.151', 44630, '192.168.70.129', 10001);('12.1.1.151', 44630, '192.168.70.129', 10001);('12.1.1.151', 44630, '192.168.70.129', 10001);total;total;total;
1685938062.9338386;0;0;1685938062.9338386;0;68;1685938062.9338386;0;68;
1685938063.1338387;0;0;1685938063.1338387;0;82;1685938063.1338387;0;82;
1685938063.3338387;0;0;1685938063.3338387;0;63;1685938063.3338387;0;63;
1685938063.5338387;0;0;1685938063.5338387;0;80;1685938063.5338387;0;80;
1685938063.7338388;0;0;1685938063.7338388;0;5;1685938063.7338388;0;5;
1685938063.9338388;0;0;1685938063.9338388;0;0;1685938063.9338388;0;0;
1685938064.133839;0;15;1685938064.133839;0;192;1685938064.133839;0;207;
1685938064.333839;0;65;1685938064.333839;0;14;1685938064.333839;0;79;
1685938064.533839;0;47;1685938064.533839;0;25;1685938064.533839;0;72;
1685938064.733839;0;22;1685938064.733839;0;67;1685938064.733839;0;89;
1685938064.933839;0;8;1685938064.933839;0;82;1685938064.933839;0;90;
1685938065.1338391;0;0;1685938065.1338391;0;88;1685938065.1338391;0;88;
1685938065.3338392;0;0;1685938065.3338392;0;86;1685938065.3338392;0;86;
1685938065.5338392;0;0;1685938065.5338392;0;88;1685938065.5338392;0;88;
1685938065.7338393;0;13;1685938065.7338393;0;73;1685938065.7338393;0;86;
1685938065.9338393;0;0;1685938065.9338393;0;78;1685938065.9338393;0;78;
1685938066.1338394;0;0;1685938066.1338394;0;80;1685938066.1338394;0;80;
1685938066.3338394;0;0;1685938066.3338394;0;27;1685938066.3338394;0;27;
1685938066.5338395;0;0;1685938066.5338395;0;0;1685938066.5338395;0;0;
1685938066.7338395;0;15;1685938066.7338395;0;189;1685938066.7338395;0;204;
1685938066.9338396;0;0;1685938066.9338396;0;93;1685938066.9338396;0;93;
1685938067.1338396;0;0;1685938067.1338396;0;88;1685938067.1338396;0;88;
1685938067.3338397;0;0;1685938067.3338397;0;51;1685938067.3338397;0;51;
1685938067.5338397;0;0;1685938067.5338397;0;80;1685938067.5338397;0;80;
1685938067.7338398;0;0;1685938067.7338398;0;59;1685938067.7338398;0;59;
1685938067.9338398;0;0;1685938067.9338398;0;61;1685938067.9338398;0;61;
1685938068.1338398;0;0;1685938068.1338398;0;80;1685938068.1338398;0;80;
1685938068.33384;0;0;1685938068.33384;0;72;1685938068.33384;0;72;
1685938068.53384;0;75;1685938068.53384;0;32;1685938068.53384;0;107;
1685938068.73384;0;64;1685938068.73384;0;15;1685938068.73384;0;79;
